,,offensive,tweet
0,0,0,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,1,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
2,2,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
3,3,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
4,4,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
5,5,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
6,6,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
7,7,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
8,8,1,""" &amp; you might not get ya bitch back &amp; thats that """
9,9,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
10,10,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
11,11,1,""" Murda Gang bitch its Gang Land """
12,12,1,""" So hoes that smoke are losers ? "" yea ... go on IG"
13,13,1,""" bad bitches is the only thing that i like """
14,14,1,""" bitch get up off me """
15,15,1,""" bitch nigga miss me with it """
16,16,1,""" bitch plz whatever """
17,17,1,""" bitch who do you love """
18,18,1,""" bitches get cut off everyday B """
19,19,1,""" black bottle &amp; a bad bitch """
20,20,1,""" broke bitch cant tell me nothing """
21,21,1,""" cancel that bitch like Nino """
22,22,1,""" cant you see these hoes wont change """
23,23,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
24,24,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
25,25,1,""" her pussy lips like Heaven doors "" &#128524;"
26,26,1,""" hoe what its hitting for """
27,27,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
28,28,1,""" i need a trippy bitch who fuck on Hennessy """
29,29,1,""" i spend my money how i want bitch its my business """
30,30,1,""" i txt my old bitch my new bitch pussy wetter """
31,31,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
32,32,1,""" if you aint bout that Murder Game pussy nigga shut up """
33,33,1,""" if you're toes ain't done you pussy stinks """
34,34,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
35,35,1,""" is that ya bitch """
36,36,1,""" it aint nothing to cut a bitch off """
37,37,1,""" jus meet son now he ya mane ass bitches "" #Shots"
38,38,1,""" lames crying over hoes thats tears of a clown """
39,39,1,""" like Snoop said in 94 we dont love these hoes """
40,40,0,""" momma said no pussy cats inside my doghouse """
41,41,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
