,Unnamed: 0,Unnamed: 1,offensive,tweet
0,0,0,0,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,1,40,0,""" momma said no pussy cats inside my doghouse """
2,2,63,0,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
3,3,66,0,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"
4,4,67,0,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
5,5,70,0,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
6,6,75,0,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"
7,7,115,0,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started"
8,8,118,0,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms."""
9,9,119,0,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
